Raw Value,Filtered Value,Anomaly,Latency (ms),Jitter (ms)
73.88,73.88,false,11.626,0.000
69.77,71.83,false,16.936,5.310
42.99,62.21,false,15.611,1.325
37.20,55.96,false,15.501,0.110
33.03,51.37,false,15.458,0.043
33.05,43.21,false,15.620,0.163
74.83,44.22,false,15.627,0.007
33.82,42.38,false,15.267,0.360
87.82,52.51,false,16.660,1.393
74.62,60.83,false,3.919,12.741
63.46,66.91,false,14.519,10.601
35.15,58.97,false,17.927,3.408
92.68,70.75,false,15.231,2.696
38.84,60.95,false,15.919,0.688
82.48,62.52,false,15.541,0.378
90.63,67.95,false,15.344,0.197
48.98,70.72,false,15.496,0.153
31.80,58.54,false,15.423,0.074
32.29,57.24,false,14.918,0.505
73.56,55.45,false,17.502,2.584
81.06,53.54,false,14.068,3.434
40.14,51.77,false,15.727,1.659
44.31,54.27,false,15.631,0.097
60.18,59.85,false,15.609,0.021
53.04,55.75,false,15.052,0.557
42.04,47.94,false,15.931,0.878
75.86,55.09,false,16.607,0.677
89.69,64.16,false,13.486,3.122
69.90,66.11,false,15.418,1.932
73.29,70.15,false,15.692,0.275
42.41,70.23,false,16.170,0.478
59.69,66.99,false,14.742,1.428
74.59,63.98,false,15.525,0.782
88.75,67.75,false,15.679,0.154
73.01,67.69,false,15.981,0.303
65.23,72.25,false,15.449,0.533
50.53,70.42,false,15.300,0.149
67.77,69.06,false,15.017,0.282
45.81,60.47,false,18.489,3.472
52.01,56.27,false,15.605,2.884
71.22,57.47,false,4.901,10.704
58.83,59.13,false,15.519,10.619
83.79,62.33,false,15.158,0.362
38.89,60.95,false,7.763,7.395
58.88,62.32,false,9.126,1.364
77.16,63.51,false,6.710,2.417
73.75,66.49,false,12.239,5.529
96.19,68.97,false,3.585,8.654
76.49,76.49,false,10.968,7.383
94.78,83.67,true,14.756,3.788
60.92,80.43,true,16.682,1.927
43.98,74.47,false,17.455,0.773
52.46,65.72,false,15.617,1.838
58.55,62.14,false,15.425,0.192
97.77,62.73,false,15.939,0.514
89.38,68.43,false,14.931,1.007
75.95,74.82,false,15.081,0.149
96.71,83.67,true,15.493,0.412
72.95,86.55,true,15.339,0.154
94.75,85.95,true,15.568,0.229
78.48,83.77,true,15.382,0.186
53.06,79.19,false,15.840,0.458
30.74,66.00,false,15.647,0.193
92.55,69.92,false,16.022,0.375
99.43,70.85,false,15.376,0.646
75.88,70.33,false,15.510,0.134
77.13,75.15,false,15.807,0.296
85.24,86.05,true,15.764,0.043
67.04,80.94,true,15.898,0.135
42.39,69.54,false,15.224,0.674
79.62,70.28,false,15.746,0.521
97.81,74.42,false,15.864,0.119
39.14,65.20,false,15.984,0.120
90.82,69.96,false,15.731,0.253
69.82,75.44,false,16.000,0.270
76.35,74.79,false,15.715,0.285
94.50,74.13,false,15.567,0.148
33.47,72.99,false,3.031,12.536
43.35,63.50,false,15.543,12.512
58.44,61.22,false,16.511,0.968
60.97,58.15,false,4.597,11.914
85.56,56.36,false,12.526,7.929
59.18,61.50,false,15.442,2.916
80.87,69.00,false,15.656,0.214
48.48,67.01,false,16.038,0.382
87.05,72.23,false,15.462,0.576
80.56,71.23,false,15.785,0.323
84.58,76.31,false,15.833,0.048
65.12,73.16,false,15.606,0.227
91.51,81.77,true,15.720,0.114
50.42,74.44,false,15.947,0.227
34.53,65.23,false,16.151,0.204
90.36,66.39,false,15.191,0.959
57.37,64.84,false,15.560,0.368
87.45,64.03,false,2.876,12.684
96.95,73.33,false,5.641,2.766
81.61,82.75,true,17.020,11.378
33.07,71.29,false,15.221,1.799
85.93,77.00,false,15.614,0.392
56.20,70.75,false,16.939,1.325
71.58,65.68,false,2.857,14.082
72.66,63.89,false,13.943,11.086
47.58,66.79,false,15.492,1.549
79.99,65.60,false,15.515,0.023
63.19,67.00,false,15.864,0.350
55.88,63.86,false,15.897,0.033
49.28,59.19,false,15.778,0.119
78.90,65.45,false,15.454,0.325
75.63,64.58,false,15.501,0.048
45.63,61.06,false,15.540,0.039
30.99,56.09,false,15.961,0.421
87.96,63.82,false,15.576,0.385
33.85,54.81,false,15.528,0.048
89.84,57.65,false,15.904,0.376
60.08,60.54,false,15.502,0.402
56.60,65.66,false,16.108,0.606
36.65,55.40,false,16.773,0.665
48.06,58.24,false,15.029,1.744
70.53,54.38,false,15.627,0.598
79.93,58.35,false,16.349,0.723
71.00,61.23,false,15.842,0.508
94.24,72.75,false,16.501,0.659
56.97,74.53,false,14.830,1.670
56.65,71.76,false,13.947,0.883
38.82,63.54,false,15.958,2.011
91.66,67.67,false,15.769,0.189
97.06,68.23,false,15.229,0.541
49.25,66.69,false,15.241,0.013
94.84,74.33,false,15.926,0.685
48.47,76.26,false,15.404,0.523
57.23,69.37,false,15.907,0.503
48.57,59.67,false,15.311,0.596
