Student B Actuator Log - 20250528_173722
Time	Filtered	Action	Latency(ms)
1748425042299.000	73.88	-26.51	1.72
1748425042314.000	71.83	-22.08	0.03
1748425042330.000	62.21	-11.83	0.03
1748425042346.000	55.96	-5.97	0.03
1748425042362.000	51.37	-1.57	0.03
1748425042378.000	43.21	7.03	0.03
1748425042394.000	44.22	5.15	0.03
1748425042409.000	42.38	7.35	0.03
1748425042426.000	52.51	-4.00	0.04
1748425042430.000	60.83	-12.25	0.03
1748425042445.000	66.91	-18.27	0.03
1748425042463.000	58.97	-9.02	0.03
1748425042479.000	70.75	-22.97	0.03
1748425042495.000	60.95	-11.13	0.03
1748425042511.000	62.52	-13.96	0.03
1748425042526.000	67.95	-19.96	0.03
1748425042542.000	70.72	-22.67	0.04
1748425042558.000	58.54	-9.08	0.05
1748425042573.000	57.24	-8.93	0.03
1748425042591.000	55.45	-7.16	0.03
1748425042605.000	53.54	-5.27	0.03
1748425042621.000	51.77	-3.53	0.03
1748425042637.000	54.27	-6.50	0.04
1748425042653.000	59.85	-12.49	0.03
1748425042668.000	55.75	-7.47	0.03
1748425042684.000	47.94	0.72	0.03
1748425042701.000	55.09	-7.97	0.25
1748425042716.000	64.16	-17.38	0.04
1748425042731.000	66.11	-18.77	0.03
1748425042747.000	70.15	-23.23	0.03
1748425042764.000	70.23	-23.11	0.04
1748425042779.000	66.99	-19.71	0.03
1748425042795.000	63.98	-16.86	0.03
1748425042811.000	67.75	-21.48	0.04
1748425042827.000	67.69	-21.22	0.03
1748425042842.000	72.25	-26.47	0.04
1748425042858.000	70.42	-24.20	0.03
1748425042873.000	69.06	-23.08	0.03
1748425042892.000	60.47	-13.87	0.03
1748425042908.000	56.27	-10.17	0.03
1748425042914.000	57.47	-11.98	0.03
1748425042929.000	59.13	-13.78	0.03
1748425042945.000	62.33	-17.26	0.06
1748425042953.000	60.95	-15.53	0.03
1748425042962.000	62.32	-17.30	0.04
1748425042969.000	63.51	-18.61	0.03
1748425042982.000	66.49	-21.94	0.03
1748425042986.000	68.97	-24.56	0.03
1748425042997.000	76.49	-32.84	0.03
1748425043012.000	83.67	-40.33	0.03
1748425043029.000	80.43	-36.34	0.04
1748425043047.000	74.47	-30.36	0.02
1748425043063.000	65.72	-21.49	0.03
1748425043079.000	62.14	-18.54	0.03
1748425043095.000	62.73	-19.68	0.04
1748425043110.000	68.43	-26.07	0.04
1748425043125.000	74.82	-32.78	0.03
1748425043141.000	83.67	-42.21	0.03
1748425043156.000	86.55	-44.86	0.02
1748425043172.000	85.95	-44.27	0.04
1748425043188.000	83.77	-42.27	0.03
1748425043204.000	79.19	-37.75	0.04
1748425043220.000	66.00	-23.85	0.02
1748425043236.000	69.92	-29.68	0.04
1748425043252.000	70.85	-30.53	0.03
1748425043268.000	70.33	-30.07	0.03
1748425043284.000	75.15	-35.67	0.03
1748425043300.000	86.05	-47.53	0.03
1748425043316.000	80.94	-41.14	0.02
1748425043331.000	69.54	-29.30	0.03
1748425043347.000	70.28	-31.46	0.02
1748425043363.000	74.42	-36.18	0.03
1748425043380.000	65.20	-25.78	0.03
1748425043396.000	69.96	-32.13	0.03
1748425043412.000	75.44	-37.95	0.04
1748425043428.000	74.79	-36.92	0.03
1748425043444.000	74.13	-36.50	0.02
1748425043447.000	72.99	-35.55	0.03
1748425043463.000	63.50	-25.36	0.02
1748425043479.000	61.22	-23.91	0.02
1748425043484.000	58.15	-20.84	0.02
1748425043497.000	56.36	-19.25	0.03
1748425043512.000	61.50	-25.20	0.02
1748425043528.000	69.00	-33.13	0.02
1748425043545.000	67.01	-30.35	0.02
1748425043560.000	72.23	-36.51	0.03
1748425043576.000	71.23	-35.10	0.03
1748425043592.000	76.31	-41.06	0.04
1748425043608.000	73.16	-37.31	0.03
1748425043624.000	81.77	-47.41	0.03
1748425043640.000	74.44	-38.74	0.03
1748425043657.000	65.23	-29.50	0.03
1748425043672.000	66.39	-31.85	0.03
1748425043688.000	64.84	-30.18	0.04
1748425043691.000	64.03	-29.58	0.03
1748425043697.000	73.33	-40.13	0.03
1748425043714.000	82.75	-49.89	0.03
1748425043730.000	71.29	-36.56	0.03
1748425043745.000	77.00	-44.26	0.03
1748425043763.000	70.75	-37.02	0.03
1748425043766.000	65.68	-32.22	0.02
1748425043780.000	63.89	-30.89	0.03
1748425043796.000	66.79	-34.43	0.03
1748425043811.000	65.60	-32.99	0.03
1748425043827.000	67.00	-34.82	0.03
1748425043844.000	63.86	-31.36	0.02
1748425043860.000	59.19	-26.63	0.02
1748425043875.000	65.45	-34.14	0.03
1748425043891.000	64.58	-32.70	0.02
1748425043907.000	61.06	-29.03	0.02
1748425043923.000	56.09	-23.97	0.03
1748425043939.000	63.82	-33.11	0.03
1748425043954.000	54.81	-22.48	0.03
1748425043971.000	57.65	-26.58	0.03
1748425043986.000	60.54	-29.58	0.04
1748425044003.000	65.66	-35.08	0.03
1748425044020.000	55.40	-23.33	0.03
1748425044035.000	58.24	-27.57	0.03
1748425044051.000	54.38	-23.08	0.04
1748425044067.000	58.35	-27.92	0.04
1748425044083.000	61.23	-30.80	0.05
1748425044100.000	72.75	-43.41	0.05
1748425044115.000	74.53	-44.47	0.03
1748425044129.000	71.76	-41.45	0.03
1748425044146.000	63.54	-32.82	0.04
1748425044162.000	67.67	-38.37	0.03
1748425044177.000	68.23	-38.75	0.04
1748425044193.000	66.69	-37.17	0.09
1748425044209.000	74.33	-45.97	0.05
1748425044224.000	76.26	-47.59	0.03
1748425044241.000	69.37	-40.01	0.04
1748425044256.000	59.67	-30.13	0.03
1748425044272.000	66.63	-38.92	0.03
1748425044288.000	54.54	-24.97	0.03
1748425044303.000	64.50	-37.28	0.02
1748425044319.000	71.49	-44.19	0.02
1748425044334.000	80.48	-53.69	0.03
1748425044350.000	79.83	-52.37	0.03
1748425044366.000	79.13	-51.95	0.02
1748425044382.000	66.59	-38.39	0.02
1748425044398.000	56.83	-28.99	0.04
1748425044414.000	50.72	-23.25	0.03
1748425044430.000	49.51	-22.52	0.04
1748425044445.000	56.25	-30.12	0.02
1748425044461.000	56.70	-30.01	0.03
1748425044479.000	62.21	-36.14	0.03
1748425044484.000	60.50	-33.82	0.03
1748425044495.000	59.47	-32.95	0.02
